Wall time,Step,Value
1607088487.5280073,1,0.11347900331020355
1607089601.991745,2,0.11223699897527695
1607090736.766154,3,0.1122559979557991
1607091908.8664846,4,0.11248599737882614
1607093036.0159159,5,0.11257799714803696
1607099758.4986875,6,0.11258500069379807
1607100209.9777114,7,0.11245699971914291
1607100665.9731417,8,0.11261799931526184
1607101324.696823,9,0.11259999871253967
1607102058.278949,10,0.11268900334835052
1607110096.2192192,11,0.11275999993085861
1607110838.2359202,12,0.11265300214290619
1607111472.6929293,13,0.11254700273275375
1607111935.2968,14,0.11261399835348129
1607112425.5697286,15,0.11262399703264236
1607119805.674678,16,0.11249800026416779
1607120304.9032016,17,0.11255799978971481
1607120794.325611,18,0.11261799931526184
1607121544.0067363,19,0.11247999966144562
1607122290.757609,20,0.11254700273275375
1607129629.0606937,21,0.112636998295784
1607130243.322849,22,0.11257000267505646
1607130984.9195886,23,0.11261200159788132
1607131729.1144512,24,0.11258699744939804
1607132470.2305212,25,0.11240600049495697
1607139002.7948704,26,0.1125129982829094
1607139469.3932989,27,0.11257799714803696
1607139938.1611018,28,0.11250399798154831
1607140578.0931413,29,0.1125900000333786
1607141360.8587139,30,0.11256100237369537
1607149824.85434,31,0.11259499937295914
1607150571.6715114,32,0.11248599737882614
1607151053.1295853,33,0.11260800063610077
1607151517.43124,34,0.11249899864196777
1607151978.6622636,35,0.11255200207233429
1607159455.9251912,36,0.1124430000782013
1607159979.5974646,37,0.11260800063610077
1607160719.7649708,38,0.11260300129652023
1607161460.5720732,39,0.11264300346374512
1607162201.590319,40,0.1126750037074089
1607169097.983191,41,0.11263299733400345
1607169677.2067204,42,0.11255799978971481
1607170196.3880935,43,0.11249300092458725
1607170887.734904,44,0.11256399750709534
1607171635.3687336,45,0.112575002014637
1607178631.9874475,46,0.11250799894332886
1607179227.6094825,47,0.11256100237369537
1607179951.943909,48,0.11256299912929535
1607180674.9030106,49,0.11252199858427048
1607181397.8995185,50,0.11245600134134293
1607186484.420771,51,0.11259499937295914
1607187206.6398785,52,0.11258699744939804
1607187929.4780474,53,0.11246100068092346
1607188385.9440491,54,0.11260999739170074
1607188839.128194,55,0.1124740019440651
1607195010.6843607,56,0.11259700357913971
1607195639.725549,57,0.11246299743652344
1607196101.7713485,58,0.11247000098228455
1607196564.471027,59,0.11263100057840347
1607197027.5114505,60,0.11259999871253967
1607203644.4438183,61,0.11253400146961212
1607204760.8810441,62,0.1124430000782013
1607205893.8942928,63,0.11263400316238403
1607207058.5420353,64,0.11263599991798401
1607208181.9502602,65,0.11265400052070618
1607214750.2287216,66,0.11261499673128128
1607215224.211521,67,0.11259099841117859
1607215686.9658847,68,0.11242900043725967
1607216149.444497,69,0.11255799978971481
1607216612.0233774,70,0.11253400146961212
1607226496.690085,71,0.11259199678897858
1607226958.6991162,72,0.11251600086688995
1607227440.686482,73,0.11258000135421753
1607227947.0460234,74,0.1125200018286705
1607228420.6200674,75,0.11254599690437317
1607238630.741626,76,0.11263500154018402
1607239251.7743425,77,0.11255499720573425
1607239713.8867917,78,0.11238499730825424
1607240176.349343,79,0.11254899948835373
1607240638.2131932,80,0.1125980019569397
1607250474.1588004,81,0.11267799884080887
1607251218.4872973,82,0.11260200291872025
1607251946.5118384,83,0.11261700093746185
1607252409.7076967,84,0.11253900080919266
1607252872.769742,85,0.11262699961662292
1607261329.0445263,86,0.11262200027704239
1607262069.12394,87,0.11260499805212021
1607262811.4197733,88,0.11266899853944778
1607263570.4605172,89,0.1125589981675148
1607264318.2360845,90,0.11255600303411484
1607269556.2631838,91,0.1125900000333786
1607270009.2191467,92,0.1126519963145256
1607270468.738295,93,0.11262399703264236
1607270943.6487577,94,0.11256399750709534
1607271406.6739082,95,0.11253900080919266
1607274933.5122418,96,0.11260300129652023
1607275654.5708108,97,0.11259599775075912
1607276374.5616128,98,0.11236099898815155
1607277095.1849442,99,0.11255300045013428
1607277795.0696774,100,0.11240799725055695
1607281118.1646678,101,0.11249099671840668
1607281572.4294052,102,0.112575002014637
1607282084.6028955,103,0.11254899948835373
1607282805.2847872,104,0.11254800111055374
1607283527.4031887,105,0.11251699924468994
1607287415.9034786,106,0.11260800063610077
1607287869.403324,107,0.11259999871253967
1607288323.2969584,108,0.11261899769306183
1607288777.675832,109,0.11253999918699265
1607289301.3227952,110,0.11258000135421753
1607293669.2203147,111,0.112574003636837
1607294128.2389345,112,0.11254099756479263
1607294587.3838756,113,0.11245699971914291
1607295040.0482066,114,0.11250299960374832
1607295493.760686,115,0.11258900165557861
1607299856.850959,116,0.11256200075149536
1607300334.1430533,117,0.1124889999628067
1607300793.0977283,118,0.1124819964170456
1607301251.5977683,119,0.11251699924468994
1607301712.1177173,120,0.11235199868679047
1607305990.082759,121,0.11245100200176239
1607306446.906824,122,0.11245600134134293
1607306949.8844106,123,0.11245100200176239
1607307409.3715215,124,0.11249999701976776
1607307869.2068396,125,0.11247800290584564
1607311976.5947247,126,0.11253300309181213
1607312696.2685795,127,0.11270999908447266
1607313162.5881383,128,0.1124730035662651
1607313617.0827863,129,0.1125359982252121
1607314120.111527,130,0.1125430017709732
1607317988.8075192,131,0.11250299960374832
1607318722.262539,132,0.11249300092458725
1607319456.4160395,133,0.11252299696207047
1607320180.3717527,134,0.11256600171327591
1607320739.3499808,135,0.11254200339317322
1607324126.5656617,136,0.11257100105285645
1607324675.1285856,137,0.11247900128364563
1607325396.2848623,138,0.11253800243139267
1607326117.2914538,139,0.11236999928951263
1607326839.642855,140,0.11254700273275375
